id,titulo,fecha,dia_semana,fuente,categoria
153,‘Princesa’ cumple 40 años: un clásico que no es solo de Sabina y comenzó en el Festival de Benidorm,2025-05-11,SUNDAY,El País,positivo
154,"Descifrando a Glenn Close, la actriz que escapó de una secta y se enfrentó a los clichés sexistas de Hollywood",2025-05-11,SUNDAY,El País,negativo
155,"María Esteve: “Aprendí arte de mis padres sin darme cuenta, como otros niños aprenden lenguas”",2025-05-11,SUNDAY,El País,positivo
156,El papa León XIV pide una “paz justa” en Ucrania y un alto el fuego en Gaza,2025-05-11,SUNDAY,El País,positivo
157,El papa León XIV visita la tumba de Francisco en su primera salida del Vaticano tras su nombramiento,2025-05-11,SUNDAY,El País,positivo
158,Ucrania acepta la negociación directa que ofrece Rusia solo si hay un alto el fuego,2025-05-11,SUNDAY,El País,positivo
159,El Barcelona levanta su sexta Liga F consecutiva y décima de su historia,2025-05-11,SUNDAY,El País,positivo
160,Cientos de personas se concentran en Madrid a favor del proyecto europeo frente a la amenaza trumpista y autoritaria,2025-05-11,SUNDAY,El País,negativo
161,Óscar López ve “muy grave” que se publiquen mensajes privados de Sánchez y pide investigar la filtración,2025-05-11,SUNDAY,El País,negativo
162,Los autónomos cambian de sector: del comercio y el transporte pasan a la educación y las comunicaciones,2025-05-11,SUNDAY,El País,positivo
163,"Noche de terror en la ciudad deportiva del Sevilla: la primera plantilla, obligada a dormir allí tras la derrota en Vigo",2025-05-11,SUNDAY,El País,negativo
164,Los Reyes rinden homenaje a la memoria de los republicanos españoles deportados en Mauthausen,2025-05-11,SUNDAY,El País,positivo
165,"Detenido un hombre, sospechoso del asesinato de una mujer de 32 años en Madrid",2025-05-11,SUNDAY,El País,negativo
166,Los Bomberos no prevén extinguir este domingo aunque controlan el incendio de Vilanova,2025-05-11,SUNDAY,El País,negativo
167,Los Reyes en Mauthausen: las imágenes de la conmemoración del 80 aniversario de la liberación del campo nazi,2025-05-11,SUNDAY,El País,negativo
168,"El centelleante regreso de Sinner, a 4.180 revoluciones por minuto",2025-05-11,SUNDAY,El País,positivo
169,Un ratito con Travis Scott en Sant Adrià,2025-05-11,SUNDAY,El País,positivo
170,"Última hora de la guerra de Rusia y Ucrania, en directo | Turquía confirma su disponibilidad para acoger las negociaciones directas entre Rusia y Ucrania",2025-05-11,SUNDAY,El País,negativo
171,La resurrección de Camps,2025-05-11,SUNDAY,El País,positivo
172,La guerra y la paz,2025-05-11,SUNDAY,El País,positivo
173,Antídoto contra apagones: existe una solución barata y sencilla para iluminar tu casa,2025-05-11,SUNDAY,El País,positivo
174,Así es la colonia de Amazon que está en top ventas y cuesta menos de 10 euros (huele a verano),2025-05-11,SUNDAY,El País,negativo
175,Adiós a los mosquitos en casa este verano con estos productos naturales de Amazon,2025-05-11,SUNDAY,El País,negativo
176,El sérum 5 estrellas para el contorno de ojos con cafeína y ácido hialurónico que sí que funciona por menos de 12 euros,2025-05-11,SUNDAY,El País,positivo
177,Recupera el brillo de tu pelo con este tratamiento superventas de Kérastase,2025-05-11,SUNDAY,El País,negativo
178,Las mejores lámparas de lava,2025-05-11,SUNDAY,El País,negativo
179,Camila Sosa Villada: “Yo muestro cómo es una travesti furiosa”,2025-05-11,SUNDAY,El País,positivo
180,"León, la última jugada de Francisco",2025-05-11,SUNDAY,El País,positivo
181,Podcast | ¿Cómo influye el clima en el estado emocional?,2025-05-11,SUNDAY,El País,positivo
182,"Álvaro Campos, el escritor que mira a Chile desde el mostrador de un almacén: “Es la posición privilegiada para quien observa el barrio, los comentarios y la vida cotidiana”",2025-05-11,SUNDAY,El País,positivo
183,En este Oriente del Valle de México no sale el sol,2025-05-11,SUNDAY,El País,negativo
184,Los controles del bienestar de los menores migrantes no acompañados deja a un centenar de niños sin hogar,2025-05-11,SUNDAY,El País,negativo
185,Economía bipolar,2025-05-11,SUNDAY,El País,positivo
186,Petro encuentra su bandera: la consulta popular sobre derechos laborales le devuelve oxígeno político para su último año de mandato,2025-05-11,SUNDAY,El País,positivo
187,Las flores colombianas coronan el Día de la Madre a pesar de la guerra arancelaria de Trump,2025-05-11,SUNDAY,El País,positivo
188,"Los corridos tumbados, en el ojo de una inédita tormenta política en México: “cooptados por el narco”, pero con la popularidad por los cielos",2025-05-11,SUNDAY,El País,negativo
189,"Lorena Kourousias, la psicóloga que busca sanar el trauma de la migración en madres latinas",2025-05-11,SUNDAY,El País,positivo
190,La ciencia involuciona en la Argentina de Milei: se desploma la inversión y disminuyen los investigadores,2025-05-11,SUNDAY,El País,negativo
191,Videoanálisis | Petro aumenta su control sobre la agenda pública,2025-05-11,SUNDAY,El País,negativo
192,¿Universidades politizadas o caricaturas de revolución?,2025-05-11,SUNDAY,El País,negativo
193,"Prevost en Chiclayo, el obispo gringo que hablaba poco pero hacía mucho",2025-05-11,SUNDAY,El País,positivo
194,"Pedro Barreto, cardenal peruano: “En el cielo Francisco está gozando la elección de Prevost”",2025-05-11,SUNDAY,El País,positivo
195,La crisis económica se erige en el gran árbitro de las elecciones en Bolivia,2025-05-11,SUNDAY,El País,negativo
196,Brasil devuelve el brillo al palacio que inauguró su arquitectura modernista,2025-05-11,SUNDAY,El País,positivo
197,La banca y el Gobierno de Sheinbaum tienden puentes para sortear al ‘huracán Trump’,2025-05-11,SUNDAY,El País,positivo
198,Una tormenta perfecta sobre Centroamérica ahoga los logros de la pacificación,2025-05-11,SUNDAY,El País,positivo
199,"Ramani Durvasula, psicóloga: “Trump y quienes nos gobiernan tienen personalidades narcisistas”",2025-05-11,SUNDAY,El País,negativo
200,49 candidatos para 49 cargos: las elecciones judiciales en las que no se podrá elegir nada,2025-05-11,SUNDAY,El País,negativo
201,Pantuflas bordadas,2025-05-11,SUNDAY,El País,positivo
202,El apagón obliga a España a acelerar en almacenamiento tras años de retraso,2025-05-11,SUNDAY,El País,negativo
203,El apagón agita el gran avispero energético,2025-05-11,SUNDAY,El País,negativo
204,El tren pierde brillo entre incidencias y en plena explosión de la demanda,2025-05-11,SUNDAY,El País,negativo
205,“La esperanza de vida en Parla es de dos años menos que en Pozuelo. La desigualdad es palpable en Madrid”,2025-05-11,SUNDAY,El País,negativo
206,Los aranceles que se autoimponen las economías europeas,2025-05-11,SUNDAY,El País,negativo
207,"‘Rob’ Prevost, el niño del extrarradio de Chicago que se convirtió en el primer papa estadounidense",2025-05-11,SUNDAY,El País,positivo
208,León XIV tendrá que ganarse a Roma antes de conquistar el mundo,2025-05-11,SUNDAY,El País,positivo
209,El pasado nazi del que los padres nunca quisieron hablar con sus hijos,2025-05-11,SUNDAY,El País,negativo
210,Viva la menopausia,2025-05-11,SUNDAY,El País,positivo
211,De los ‘merkelianos’ a la derecha: los cinco enemigos de Friedrich Merz,2025-05-11,SUNDAY,El País,negativo
212,Zara en la era de Marta Ortega,2025-05-11,SUNDAY,El País,positivo
213,La prisión de Alcatraz no escapa a las ocurrencias de Trump,2025-05-11,SUNDAY,El País,negativo
214,Lo simbólico importa,2025-05-11,SUNDAY,El País,positivo
215,¿Por qué Prevost?,2025-05-11,SUNDAY,El País,positivo
216,"Fiona Hill, exconsejera de Trump: “El presidente quiere ser un autócrata; se ve como un emperador”",2025-05-11,SUNDAY,El País,positivo
217,Un papa contra la polarización que ataca la raíz ideológica de Trump,2025-05-11,SUNDAY,El País,positivo
218,"La tregua de Putin, un espejismo en el frente de combate de Ucrania",2025-05-11,SUNDAY,El País,positivo
219,"Despertar la curiosidad por las abejas silvestres, un objetivo del Real Jardín Botánico de Madrid",2025-05-11,SUNDAY,El País,positivo
220,La importancia de educar en la convivencia,2025-05-11,SUNDAY,El País,positivo
221,"Reducción de jornada: apoyo social, enemigos muy fuertes",2025-05-11,SUNDAY,El País,positivo
222,"María Esteve: “Aprendí arte de mis padres sin darme cuenta, como otros niños aprenden lenguas”",2025-05-11,SUNDAY,El País,positivo
223,La teoría del “caos” tercermundista español que erosiona la democracia,2025-05-11,SUNDAY,El País,positivo
224,La crónica | Todo para el Parlamento pero sin el Parlamento,2025-05-11,SUNDAY,El País,positivo
225,Cinco recetas para defender un periodismo en el punto de mira,2025-05-11,SUNDAY,El País,positivo
226,La artista que aprendió a dibujar cómics para entender los traumas de su familia y ha hecho historia en los Pulitzer,2025-05-11,SUNDAY,El País,positivo
227,El cultivo de cáñamo industrial desaparece en Cataluña por la inseguridad que rodea las plantaciones,2025-05-11,SUNDAY,El País,positivo
228,"Salarios, guardias y complementos: los incentivos de las comunidades para conquistar a los médicos que terminan la residencia",2025-05-11,SUNDAY,El País,positivo
229,El PP valenciano espera un gesto de Feijóo ante la debilidad de Mazón y el desafío de Camps,2025-05-11,SUNDAY,El País,positivo
230,León XIV en un mundo cada vez más laico,2025-05-11,SUNDAY,El País,positivo
251,Ucrania acepta la negociación directa que ofrece Rusia solo si hay un alto el fuego,2025-05-11,SUNDAY,El País,positivo
252,Los Reyes rinden homenaje a la memoria de los republicanos españoles deportados en Mauthausen,2025-05-11,SUNDAY,El País,positivo
253,El papa León XIV pide una “paz justa” en Ucrania y un alto el fuego en Gaza,2025-05-11,SUNDAY,El País,positivo
254,El Barcelona levanta su sexta Liga F consecutiva y décima de su historia,2025-05-11,SUNDAY,El País,positivo
255,Barcelona - Real Madrid: un clásico para resolver la Liga,2025-05-11,SUNDAY,El País,positivo
256,Zara en la era de Marta Ortega,2025-05-11,SUNDAY,El País,positivo
257,‘Princesa’ cumple 40 años: un clásico que no es solo de Sabina y comenzó en el Festival de Benidorm,2025-05-11,SUNDAY,El País,positivo
258,"Descifrando a Glenn Close, la actriz que escapó de una secta y se enfrentó a los clichés sexistas de Hollywood",2025-05-11,SUNDAY,El País,negativo
259,"María Esteve: “Aprendí arte de mis padres sin darme cuenta, como otros niños aprenden lenguas”",2025-05-11,SUNDAY,El País,positivo
260,El papa León XIV pide una “paz justa” en Ucrania y un alto el fuego en Gaza,2025-05-11,SUNDAY,El País,positivo
261,El papa León XIV visita la tumba de Francisco en su primera salida del Vaticano tras su nombramiento,2025-05-11,SUNDAY,El País,positivo
262,Ucrania acepta la negociación directa que ofrece Rusia solo si hay un alto el fuego,2025-05-11,SUNDAY,El País,positivo
263,El Barcelona levanta su sexta Liga F consecutiva y décima de su historia,2025-05-11,SUNDAY,El País,positivo
264,Cientos de personas se concentran en Madrid a favor del proyecto europeo frente a la amenaza trumpista y autoritaria,2025-05-11,SUNDAY,El País,negativo
265,Óscar López ve “muy grave” que se publiquen mensajes privados de Sánchez y pide investigar la filtración,2025-05-11,SUNDAY,El País,negativo
266,Los autónomos cambian de sector: del comercio y el transporte pasan a la educación y las comunicaciones,2025-05-11,SUNDAY,El País,positivo
267,"Noche de terror en la ciudad deportiva del Sevilla: la primera plantilla, obligada a dormir allí tras la derrota en Vigo",2025-05-11,SUNDAY,El País,negativo
268,Los Reyes rinden homenaje a la memoria de los republicanos españoles deportados en Mauthausen,2025-05-11,SUNDAY,El País,positivo
269,"Detenido un hombre, sospechoso del asesinato de una mujer de 32 años en Madrid",2025-05-11,SUNDAY,El País,negativo
270,Los Bomberos no prevén extinguir este domingo aunque controlan el incendio de Vilanova,2025-05-11,SUNDAY,El País,negativo
271,Los Reyes en Mauthausen: las imágenes de la conmemoración del 80 aniversario de la liberación del campo nazi,2025-05-11,SUNDAY,El País,negativo
272,"El centelleante regreso de Sinner, a 4.180 revoluciones por minuto",2025-05-11,SUNDAY,El País,positivo
273,Un ratito con Travis Scott en Sant Adrià,2025-05-11,SUNDAY,El País,positivo
274,"Última hora de la guerra de Rusia y Ucrania, en directo | Turquía confirma su disponibilidad para acoger las negociaciones directas entre Rusia y Ucrania",2025-05-11,SUNDAY,El País,negativo
275,La resurrección de Camps,2025-05-11,SUNDAY,El País,positivo
276,La guerra y la paz,2025-05-11,SUNDAY,El País,positivo
277,Antídoto contra apagones: existe una solución barata y sencilla para iluminar tu casa,2025-05-11,SUNDAY,El País,positivo
278,Así es la colonia de Amazon que está en top ventas y cuesta menos de 10 euros (huele a verano),2025-05-11,SUNDAY,El País,negativo
279,Adiós a los mosquitos en casa este verano con estos productos naturales de Amazon,2025-05-11,SUNDAY,El País,negativo
280,Recupera el brillo de tu pelo con este tratamiento superventas de Kérastase,2025-05-11,SUNDAY,El País,negativo
281,El sérum 5 estrellas para el contorno de ojos con cafeína y ácido hialurónico que sí que funciona por menos de 12 euros,2025-05-11,SUNDAY,El País,positivo
282,Las mejores lámparas de lava,2025-05-11,SUNDAY,El País,negativo
283,Camila Sosa Villada: “Yo muestro cómo es una travesti furiosa”,2025-05-11,SUNDAY,El País,positivo
284,"León, la última jugada de Francisco",2025-05-11,SUNDAY,El País,positivo
285,Podcast | ¿Cómo influye el clima en el estado emocional?,2025-05-11,SUNDAY,El País,positivo
286,"Álvaro Campos, el escritor que mira a Chile desde el mostrador de un almacén: “Es la posición privilegiada para quien observa el barrio, los comentarios y la vida cotidiana”",2025-05-11,SUNDAY,El País,positivo
287,En este Oriente del Valle de México no sale el sol,2025-05-11,SUNDAY,El País,negativo
288,Los controles del bienestar de los menores migrantes no acompañados deja a un centenar de niños sin hogar,2025-05-11,SUNDAY,El País,negativo
289,Las flores colombianas coronan el Día de la Madre a pesar de la guerra arancelaria de Trump,2025-05-11,SUNDAY,El País,positivo
